web_scraper_order,web_scraper_start_url,ingredient_link,ingredient_link-href,ingredient_name,rating,benefits,categories,INFO_GLANCE
"1766125183-1","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&csortb1=ingredientNotRated&csortd1=1&csortb2=ingredientRating&csortd2=2&csortb3=name&csortd3=1&start=2000&sz=2000","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-zingiber-zerumbet-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2000&fdid=ingredients&start=2000","Zingiber Zerumbet Extract","Rating: Worst","Benefits: Hydration","Categories: Plant Extracts, Humectant, Irritant",""
"1766125188-2","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&csortb1=ingredientNotRated&csortd1=1&csortb2=ingredientRating&csortd2=2&csortb3=name&csortd3=1&start=2000&sz=2000","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-zingiber-zerumbet.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2000&fdid=ingredients&start=2000","Zingiber Zerumbet","Rating: Worst","Benefits: Hydration","Categories: Plant Extracts, Humectant, Irritant",""
"1766125193-3","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&csortb1=ingredientNotRated&csortd1=1&csortb2=ingredientRating&csortd2=2&csortb3=name&csortd3=1&start=2000&sz=2000","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-zinc-carbonate.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2000&fdid=ingredients&start=2000","Zinc Carbonate","Rating: Worst","","Categories: Occlusive/Opacifying Agent",""
"1766125199-4","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&csortb1=ingredientNotRated&csortd1=1&csortb2=ingredientRating&csortd2=2&csortb3=name&csortd3=1&start=2000&sz=2000","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-zanthoxylum-piperitum-fruit-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2000&fdid=ingredients&start=2000","Zanthoxylum Piperitum Fruit Extract","Rating: Worst","","Categories: Irritant, Plant Extracts, Antioxidant",""
"1766125204-5","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&csortb1=ingredientNotRated&csortd1=1&csortb2=ingredientRating&csortd2=2&csortb3=name&csortd3=1&start=2000&sz=2000","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-zanthoxylum-piperitum.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2000&fdid=ingredients&start=2000","Zanthoxylum Piperitum","Rating: Worst","","Categories: Irritant, Plant Extracts, Antioxidant",""
"1766125209-6","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&csortb1=ingredientNotRated&csortd1=1&csortb2=ingredientRating&csortd2=2&csortb3=name&csortd3=1&start=2000&sz=2000","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-ylang-ylang.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2000&fdid=ingredients&start=2000","Ylang Ylang","Rating: Worst","","Categories: Fragrance: Synthetic and Natural, Irritant, Plant Extracts",""
"1766125215-7","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&csortb1=ingredientNotRated&csortd1=1&csortb2=ingredientRating&csortd2=2&csortb3=name&csortd3=1&start=2000&sz=2000","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-xi-xin.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2000&fdid=ingredients&start=2000","Xi Xin","Rating: Worst","","","Also called Chinese wild gingerOil form of xi xin can sensitize skinThe extract has soothing properties"
"1766125220-8","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&csortb1=ingredientNotRated&csortd1=1&csortb2=ingredientRating&csortd2=2&csortb3=name&csortd3=1&start=2000&sz=2000","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-witch-hazel.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2000&fdid=ingredients&start=2000","Witch Hazel","Rating: Worst","Benefits: Oil Control","Categories: Irritant, Plant Extracts, Antioxidant","Commonly used plant extract from the Hamamelis virginiana shrubCan have potent astringent, anti-irritant, and skin soothing propertiesIts high tannin content can also make it sensitizing to skinCan be derived from different parts of the plant"
"1766125225-9","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&csortb1=ingredientNotRated&csortd1=1&csortb2=ingredientRating&csortd2=2&csortb3=name&csortd3=1&start=2000&sz=2000","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-wild-ginger.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2000&fdid=ingredients&start=2000","Wild Ginger","Rating: Worst","","Categories: Plant Extracts, Irritant",""
"1766125230-10","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&csortb1=ingredientNotRated&csortd1=1&csortb2=ingredientRating&csortd2=2&csortb3=name&csortd3=1&start=2000&sz=2000","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-white-oak-bark-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2000&fdid=ingredients&start=2000","White Oak Bark Extract","Rating: Worst","","Categories: Plant Extracts, Irritant",""
